id,question_id/id,matrix_question_id/id,value,question_type
question_answer_dynavac_01,question_dynavac_01,,Lack of career advancement opportunities,
question_answer_dynavac_02,question_dynavac_01,,Better job offers elsewhere,
question_answer_dynavac_03,question_dynavac_01,,Relocation,
question_answer_dynavac_04,question_dynavac_01,,Personal reasons,
question_answer_dynavac_05,question_dynavac_01,,Dissatisfaction with company culture,
question_answer_dynavac_06,question_dynavac_01,,Dissatisfaction with management,
question_answer_dynavac_07,question_dynavac_01,,Other please specify:,
question_answer_dynavac_08,question_dynavac_02,,Very satisfied,
question_answer_dynavac_09,question_dynavac_02,,Satisfied,
question_answer_dynavac_10,question_dynavac_02,,Neutral,
question_answer_dynavac_11,question_dynavac_02,,Dissatisfied,
question_answer_dynavac_12,question_dynavac_02,,Very dissatisfied,
question_answer_dynavac_13,question_dynavac_03,,Responsibilities,
question_answer_dynavac_14,question_dynavac_03,,Work environment,
question_answer_dynavac_15,question_dynavac_03,,Team collaboration,
question_answer_dynavac_16,question_dynavac_03,,Opportunities for skill development,
question_answer_dynavac_17,question_dynavac_03,,Compensation and benefits,
question_answer_dynavac_18,question_dynavac_03,,Other please specify:,
question_answer_dynavac_19,question_dynavac_04,,Responsibilities,
question_answer_dynavac_20,question_dynavac_04,,Work environment,
question_answer_dynavac_21,question_dynavac_04,,Work environment,
question_answer_dynavac_22,question_dynavac_04,,Opportunities for skill development,
question_answer_dynavac_23,question_dynavac_04,,Compensation and benefits,
question_answer_dynavac_24,question_dynavac_04,,Other please specify:,
question_answer_dynavac_25,question_dynavac_05,,Collaborative,
question_answer_dynavac_26,question_dynavac_05,,Innovative,
question_answer_dynavac_27,question_dynavac_05,,Supportive,
question_answer_dynavac_28,question_dynavac_05,,Inclusive,
question_answer_dynavac_29,question_dynavac_05,,Hierarchical,
question_answer_dynavac_30,question_dynavac_05,,Toxic,
question_answer_dynavac_31,question_dynavac_05,,Other please specify:,
question_answer_dynavac_32,question_dynavac_06,,Yes,
question_answer_dynavac_33,question_dynavac_06,,No,
question_answer_dynavac_34,question_dynavac_07,,Excellent,
question_answer_dynavac_35,question_dynavac_07,,Good,
question_answer_dynavac_36,question_dynavac_07,,Fair,
question_answer_dynavac_37,question_dynavac_07,,Poor,
question_answer_dynavac_38,question_dynavac_07,,Very Poor,
question_answer_dynavac_39,question_dynavac_09,,Excellent,
question_answer_dynavac_40,question_dynavac_09,,Good,
question_answer_dynavac_41,question_dynavac_09,,Fair,
question_answer_dynavac_42,question_dynavac_09,,Poor,
question_answer_dynavac_43,question_dynavac_09,,Very Poor,
question_answer_dynavac_44,question_dynavac_11,,Yes,
question_answer_dynavac_45,question_dynavac_11,,No,
question_answer_dynavac_46,question_dynavac_11,,Not applicable,
question_answer_dynavac_47,question_dynavac_13,,Excellent,
question_answer_dynavac_48,question_dynavac_13,,Good,
question_answer_dynavac_49,question_dynavac_13,,Fair,
question_answer_dynavac_50,question_dynavac_13,,Poor,
question_answer_dynavac_51,,question_dynavac_13,Provided feedback on my performance.,
question_answer_dynavac_52,,question_dynavac_13,Treated me with respect and courtesy.,
question_answer_dynavac_53,,question_dynavac_13,Led by example.,
question_answer_dynavac_54,,question_dynavac_13,Helped me solve problems.,
question_answer_dynavac_55,,question_dynavac_13,Was available when I needed help.,
question_answer_dynavac_56,,question_dynavac_13,Followed policies and practices and applied them fairly.,
question_answer_dynavac_57,,question_dynavac_13,Provided positive feedback and recognition.,
question_answer_dynavac_58,,question_dynavac_13,Resolved complaints and problems.,
question_answer_dynavac_59,,question_dynavac_13,Represented the position accurately when interviewed.,
question_answer_dynavac_60,,question_dynavac_13,Training opportunities were available inside the department.,
question_answer_dynavac_61,,question_dynavac_13,Training opportunities were available outside the department.,
question_answer_dynavac_62,question_dynavac_14,,Excellent,
question_answer_dynavac_63,question_dynavac_14,,Good,
question_answer_dynavac_64,question_dynavac_14,,Fair,
question_answer_dynavac_65,question_dynavac_14,,Poor,
question_answer_dynavac_66,,question_dynavac_14,My physical work area was appropriate for the work that I did.,
question_answer_dynavac_67,,question_dynavac_14,"I had adequate materials to do my work (tools, computer, phones, etc).",
question_answer_dynavac_68,,question_dynavac_14,My work schedule was convenient.,
question_answer_dynavac_69,,question_dynavac_14,Overtime demands were reasonable.,
question_answer_dynavac_70,,question_dynavac_14,Relationship with co-workers.,
question_answer_dynavac_71,,question_dynavac_14,"Relationship with customers (consignees, underwriters, agents / contractors)",
question_answer_dynavac_72,,question_dynavac_14,Office atmosphere and morale,
question_answer_dynavac_73,,question_dynavac_14,Adequate guidance in resolving work-related or personal problems.,
